Estatura (cm),Peso (kg)
155.7306231,77.26323265
160.6742977,61.25419054
159.8754285,92.39766119
182.5056983,67.3937894
167.6546197,60.78067417
161.3664442,77.10585592
159.6439427,67.10662034
171.4166716,87.22975606
169.8886437,76.77926684
183.4407437,68.41024123
175.000167,82.60245502
155.6820222,76.79292169
163.7101929,60.16883842
180.7007251,77.10715288
163.789173,65.86810046
187.3457217,69.33338972
159.0171057,71.04843559
175.7261335,62.9672319
161.3878445,59.33326177
164.9040487,72.94227209
180.9858165,58.89413201
168.7293284,49.39837899
178.1345225,63.31115517
174.7329059,72.64873937
177.5386568,67.84095093
161.1181179,80.13704752
167.784256,71.47002796
174.2425262,63.86952278
161.5092713,66.4833316
186.2950004,58.50766913
162.2277196,78.6863778
166.9999642,58.95119931
159.9344094,62.63673894
148.5669193,68.71771024
187.9691852,70.01882612
167.9566106,57.97879709
165.5208516,62.75571364
168.0128494,72.12032482
184.1986397,79.03778687
160.3489339,72.7920285
176.7956787,69.79352191
165.7621175,57.50073013
164.0332914,65.06126123
175.6705821,74.17195393
179.8824057,78.64757336
164.8609705,77.11500727
162.3115084,71.10457316
158.3090425,79.63680373
181.0350377,93.05168571
164.2474401,65.24910468
151.5086927,63.89507364
184.0995214,82.14786341
156.301405,71.8837162
177.7946053,70.89846151
171.8342865,73.13899462
172.8791543,64.76410796
164.1562472,61.72163772
173.6559146,63.78281992
153.3222011,79.96757005
175.8803775,58.50687468
185.5701004,73.98923717
178.840272,65.53850032
149.8045991,67.17306489
160.15791,75.94360781
168.1220508,76.75191131
174.869373,72.7438123
168.9334733,55.0150427
165.0678561,82.56771767
175.9530031,80.48157214
181.6415177,70.73149467
167.6770599,70.08206254
177.2892987,84.41159367
144.2094925,77.57779417
160.6249061,69.76564477
166.7874106,67.66129059
165.1143378,68.45170311
173.3279822,79.41785644
180.1375055,78.31993428
175.0666903,57.09261591
163.7777453,73.71713919
154.7723191,76.91297065
175.5696412,57.94829467
151.6182326,69.97628199
176.5303728,55.78365115
168.1155092,71.03594269
158.2416501,53.33412398
172.8725731,64.54603581
169.971239,65.11147268
169.6340271,64.32920144
169.157767,81.61222414
174.1952411,74.28408456
179.2443402,66.80344912
174.966152,62.53537727
180.1213319,68.08978947
169.5586028,61.76709625
186.1845932,77.78464003
175.7110982,85.97412801
164.5630597,78.42559918
159.0610494,72.65352276
172.057968,68.67496973
156.9347848,66.75914968
160.2662403,83.96227658
172.3908708,65.39251514
163.9211255,82.48878846
160.6668376,60.94768606
169.6552495,67.63014676
170.726779,56.28754726
167.9416597,71.27387361
166.2245308,59.89017902
178.5464273,83.32039525
173.4242735,73.29817817
167.7657389,74.29917398
194.6432193,72.26142759
171.9383174,61.25967348
181.3200513,70.9929463
164.39019,84.6966455
156.3705905,70.06843941
162.0824348,61.86387039
167.3199022,55.18125875
165.0339179,64.29338408
183.3638618,55.90216882
168.7995888,76.64413895
174.6146888,76.24933813
169.5351884,62.99454538
165.6644567,74.91185047
170.3799601,65.38836278
187.1405147,69.63508574
162.3205141,72.97564441
177.6699045,66.44831993
159.7399275,73.34562679
165.4037356,56.5141756
170.0358321,70.9397999
173.2637509,69.72038382
184.8312863,53.62885491
169.4991736,55.52247846
161.5638439,55.12381115
176.5004197,73.31445467
166.3583019,70.99167701
172.3868157,72.19166062
168.8377756,59.38897206
150.5654315,79.11179049
175.0829919,77.86272976
175.8336801,63.86429572
179.2660477,79.40848221
188.0046276,67.99262083
158.0489623,55.79035981
175.1650744,56.93844187
174.09295,75.8697879
165.8091801,69.16760951
173.9710624,77.04979957
174.9964696,69.293015
157.8131617,72.14136715
172.4622276,86.98821138
160.8201569,81.1747927
163.481435,66.53738185
152.2525518,72.9997498
165.2663907,73.95556354
167.9642933,76.09112934
175.4985687,70.56807044
170.0089993,66.0517452
154.5771185,69.97101746
178.6214806,66.15770312
168.8141338,83.46693825
174.8837059,79.92580991
179.6593612,68.37107985
184.2260475,73.42633809
189.6122699,68.67632589
169.2776124,79.54592909
173.1112445,78.39104413
159.2163891,74.54888666
180.6160017,76.97011416
158.1511256,75.28456646
151.9474831,79.39249483
178.3038601,74.24905099
164.7830348,71.21520423
177.7760728,65.38219501
174.0807465,57.4259941
153.6999735,69.77721296
142.8032064,64.07155573
159.0339825,70.48007254
170.1649149,79.12390739
157.7822367,71.3825974
163.4723855,66.67998663
155.4105927,63.174971
171.6987796,58.55891834
170.9082593,80.66244268
165.1860738,55.78647185
183.970653,62.52173579
184.9771503,51.49438453
175.652672,67.47086739
152.0022882,67.26172352
158.9530985,66.76564463
174.0713033,69.4949608
163.7144242,63.4298794
165.1290857,62.69075488
178.9896739,84.54261131
175.1087482,67.32749641
183.1415443,77.261269
165.707907,63.30583166
183.7522542,82.90182876
164.4586875,82.11345705
184.9949149,71.84814946
171.0583464,61.20374726
161.3949025,70.69601109
153.6878049,70.378436
166.9852769,71.91699131
167.437673,62.17423507
178.5766191,57.81599891
168.894095,71.2989043
165.6756802,69.91766947
180.7703747,70.01660018
167.7517344,78.21440463
164.2375818,58.19871614
175.7460892,78.08554973
165.1017178,64.05417968
176.5880214,66.83822347
164.0308289,63.39376509
167.7704082,70.71695886
171.5217698,54.753457
166.2587368,65.45531424
169.8654853,65.87394764
178.1547197,80.11144162
174.1060179,71.20558515
174.8096985,75.56414649
163.6456956,70.04751052
178.5282977,61.60879703
176.6956234,77.25763895
180.0441919,63.23646926
162.7363417,65.79005327
168.275414,71.45679823
176.335339,77.56431032
163.9118488,68.38892365
167.7387753,82.08419786
189.2580574,65.42817268
189.5176101,75.3247143
182.3994055,70.02893041
179.3858514,82.37337471
159.8074885,71.71524811
175.1256223,54.98149746
166.408834,78.70668168
159.414281,69.34761189
164.9099416,65.57550471
171.1566507,79.7837181
164.5264443,67.34953091
164.4920057,74.79989395
177.920415,63.85293345
171.4410649,63.31095899
172.3345808,84.48465408
171.118724,63.7037381
163.2429686,65.32183251
156.2942808,56.33343367
173.1056471,83.03985795
164.9296337,73.18398659
149.8921773,71.90223707
166.0743274,77.80110728
159.0778206,59.36530745
176.9865023,65.67162574
175.2162523,69.26849815
174.9689314,57.61223159
163.3495838,80.49141701
177.3155158,69.8525676
173.1964978,67.41369091
165.9014546,71.88980392
165.4666257,63.97934173
178.9270815,70.36090403
165.2639594,97.42030838
173.0365647,74.83745624
180.3395699,83.34648848
189.0934263,67.15933502
186.6387312,63.98744808
179.0082276,72.47762871
154.9408865,59.26636045
163.1095157,51.54433788
164.5191281,75.85274004
186.5314983,75.13070516
163.0068206,76.67080977
173.8616638,70.22535899
171.0086706,85.8269816
160.6487279,69.3013745
173.8182401,65.56828207
173.9829609,45.94801028
157.4422512,69.62267306
182.2287745,76.65502228
149.1348997,70.05488959
164.0924285,78.99377388
179.7197029,88.35904933
158.0674217,68.61319833
173.5026592,79.85002848
157.0363961,57.3131794
169.0697586,78.25055283
146.8622689,70.50792384
161.574283,68.22887601
154.5707855,68.69280864
165.9823626,68.74957225
165.847686,67.52957673
163.2633583,71.58938376
177.979132,68.60566293
161.131204,60.75366017
176.3438667,73.33643111
186.2927577,65.13705641
171.3906415,78.38389292
161.423298,69.72938427
157.5066149,71.01619163
162.902149,53.60614469
177.0464272,59.94655897
171.5559073,77.51691515
179.3679522,64.12946619
177.7033088,65.74049873
171.4081065,67.77648026
174.7348826,80.90994074
188.5524621,72.99310398
184.1565623,80.48211683
166.9725398,67.85801762
179.8967944,71.70541011
175.8585081,60.37405236
181.3638808,79.42424988
176.7161657,70.86918563
160.2583256,70.35303279
153.8031543,72.70652431
175.7262702,81.57433659
189.026182,68.28403915
162.2433589,83.30431166
168.1191026,63.18781932
159.6425227,73.37747686
181.778295,86.07374849
146.9483314,66.08148215
147.363397,71.96204683
173.7501992,77.0200405
169.1765635,68.89680241
165.2037698,57.99717379
166.9890521,61.55232513
175.3698791,74.64746071
165.8619601,77.13212256
159.0307503,76.27644267
160.7263707,79.17145611
178.8833886,70.57588156
164.7525805,71.66586537
156.1472242,57.84905073
171.0217833,72.53863163
175.0499472,74.90144628
183.2896075,65.33430964
172.1790339,75.15201359
163.4028875,55.47288924
174.7400787,76.00879678
177.2717487,72.40227459
169.6109469,86.88486827
169.5540061,81.30468429
172.601329,82.05584287
169.301435,76.53917677
172.5011391,75.17292491
159.7808668,60.54694948
158.4956223,67.3192696
161.6388862,84.61382777
176.4221094,58.35068441
172.5879757,66.39774532
180.4023896,58.64612735
168.1330908,81.60761451
158.563586,65.47374937
181.4455354,82.35627493
169.8123294,66.68990005
182.8345504,65.96694336
175.9794649,80.22823351
191.8861868,77.51065381
167.8022701,48.26975753
179.0072391,73.60912632
178.9136411,74.80133503
164.4487365,71.67845545
168.2751768,64.73873597
155.3826166,70.22726756
154.5120386,66.81550815
171.265688,71.69058422
177.9300707,68.3808459
176.3802403,65.02457473
173.400246,71.31016357
178.6301715,76.41951128
164.103022,72.31204714
167.2746725,65.57086088
177.3752151,72.69003216
174.3311873,78.55833913
167.8981119,82.76323335
183.2079439,79.66042067
157.0799875,74.29904155
164.8132131,61.92700775
167.1660223,59.07557818
178.1653488,68.38095029
170.023852,58.72652175
157.3850825,63.72172217
175.1400418,68.63902156
180.8754632,66.12631663
177.3930453,67.37665555
176.1915492,59.37596298
151.256865,71.85173408
161.0011352,77.97206441
174.8208061,65.61490026
169.4511182,75.80604275
175.225576,91.30181371
157.3365732,69.26551176
169.3850524,75.20968006
156.1021898,71.57416072
150.4632144,77.75698983
172.9577909,56.25080099
178.425888,61.54434586
172.4561643,71.14771142
169.6700352,77.09570053
154.3798566,71.04419221
180.0610707,56.68341399
169.559551,63.41109379
189.5956201,63.64235106
179.4231431,73.11193556
149.9487457,63.90368832
177.5504968,64.55354316
156.0346476,78.67798061
162.4050451,80.68253021
167.4924332,66.69380156
169.0593755,73.39922138
173.9756522,54.94812961
159.7714496,71.58661647
158.49308,79.5198244
176.006052,74.21425364
169.8674973,70.80848675
171.7437305,66.89085621
148.0631665,64.82566388
168.2286262,68.56734076
161.0927082,57.58847089
160.7937363,82.88367183
179.219348,74.51368512
159.0432877,69.18050373
159.0710339,65.0415618
166.689894,69.43728304
174.5028883,76.38235954
161.1598527,78.09158313
182.3414404,62.77047256
184.4984753,62.21176992
161.1855293,86.6258397
167.5491824,79.09274286
162.2132453,75.66815953
153.146179,68.89083005
173.0301105,77.39216271
177.3359487,59.81413459
190.1186426,82.25414737
161.025905,69.7138222
183.3623509,76.32689202
183.4235369,75.1697422
171.9785331,68.94743271
176.0216349,68.59706916
178.7327305,79.77266513
189.7409995,78.21197924
174.7780856,55.82215104
169.3986211,56.4607541
161.338312,62.43023504
173.0532076,62.85163681
180.2416493,61.05179302
172.4461036,72.17688515
162.2007675,66.29036442
170.890762,79.64899697
168.7084652,81.62302212
172.6473876,69.7705341
153.3815163,83.46766359
175.5078861,70.19371448
175.9542316,66.52167483
174.4485344,70.51828591
169.9623718,77.55888002
151.9406374,57.08431222
169.8067721,68.33120542
180.60715,72.37924528
161.3987112,72.90467732
150.1073053,67.05250925
154.5944203,73.91028594
173.1402569,72.33697294
173.7287601,65.26473509
178.8629319,87.45278903
169.44741,73.51640165
154.9967162,67.3505332
161.8149586,65.42624773
178.1883937,78.23527135
171.4049591,70.81647833
176.4982963,90.38490158
174.3478881,66.51260702
167.9503945,60.05914449
168.2599316,69.77841233
188.5710227,71.40053967
174.1467427,53.05239492
168.7141245,67.52665188
174.5541999,67.05267647
172.2290582,67.04989171
148.4264363,64.95819402
176.5008451,59.25445966
188.2093927,76.06430441
162.1972013,65.32927325
184.5403575,61.81038838
167.431303,63.92052586
172.934714,66.22141408
180.7036002,70.869177
162.7999857,75.34671189
182.4249391,62.37456402
157.8578272,66.16562082
161.2484525,59.23593818
164.0647968,42.86160005
176.6200537,71.24635145
166.5912559,82.16002814
154.8002554,74.17666603
167.8346713,65.94352035
162.1577862,70.77183314
177.3129362,60.60143919
166.5676495,69.02166114
170.7077408,66.57832598
165.9452754,63.17828614
174.3393897,73.24521784
168.1640924,90.79893732
173.2519871,83.32359605
144.0661144,69.42341583
170.9725088,77.07291724
174.1391367,76.90165947
168.0071995,64.81969579
176.6939247,75.15123259
177.3860703,58.47206321
183.0421389,63.55761287
171.0481161,71.91002296
150.861993,66.6816987
147.1450055,84.05182914
153.9815905,75.18432348
169.6209294,66.94369503
168.4269471,66.2353623
172.7623985,71.49576487
163.7475408,61.55574969
162.6350883,74.76489563
175.5504794,58.9975844
176.5592441,74.98408157
167.4334986,68.68324214
169.6152334,73.31690814
174.0431434,61.8993126
175.0434358,71.95988166
158.560193,89.29878193
162.8042614,66.34226598
157.6945395,72.53919888
164.9309339,82.0445356
178.1233359,76.09363316
175.4627187,73.45508387
159.0190204,61.89048582
175.1226673,59.77929302
170.8584311,70.42745953
165.0607329,66.29411316
155.9354034,69.84753429
168.2517663,71.64525339
176.7994401,64.58857729
148.3690235,73.95282421
166.038768,84.86844951
192.542837,61.9252721
176.7263672,66.24362913
172.598325,69.60311473
162.6281483,79.12367739
163.2167016,60.50894399
169.167116,61.47881516
186.0286363,52.6907119
174.6558919,66.47710229
161.278416,75.44116613
181.7678696,78.52179767
167.0740579,72.85722929
186.9734648,65.19234416
164.3339698,75.65177291
159.9673424,71.63454872
171.7462958,54.63435521
179.8232698,60.17524134
180.374448,82.09492244
171.5919177,72.57764066
160.1190331,59.00164489
164.9465928,76.55962486
149.8171813,78.49147968
160.8687846,66.51972776
168.2154319,75.26145677
173.8900214,40.0791949
166.6054568,77.78861436
169.4302095,79.40124314
166.0381456,61.00237828
177.510253,72.2566832
161.0088706,67.29503566
178.3754791,69.17976415
189.6088081,66.60095644
174.7278966,59.34163627
164.7290839,85.12322962
164.6372986,67.5175132
182.0983722,70.83804035
158.7341057,61.92479536
160.4619558,61.70506271
158.3555155,73.30078732
157.2148616,74.21113664
159.5518368,77.02339335
177.8990494,78.83019202
181.0228256,68.31833968
163.0292693,66.44637549
172.0733405,75.97451066
177.5915668,64.90048637
171.005642,76.97406797
160.4505724,72.9960023
155.2959826,79.24021148
180.1042755,75.36313351
174.9617941,61.56443341
175.7695589,63.07493087
158.923531,75.85988238
172.3497719,85.25644674
176.2899959,59.41750639
173.1403384,70.18569283
162.5497678,72.25339646
180.1226051,57.79377991
154.7236805,73.82499997
179.2874192,69.25501766
180.8105594,53.22754015
185.7233032,82.97382383
166.5750781,63.09433425
160.0056998,59.73997269
177.9388036,73.36113298
163.0078472,74.45989437
170.4399551,75.89129123
166.8253778,66.9119731
160.9792803,69.9126853
173.2099947,64.15354589
156.0798408,59.51842155
175.9220568,78.63304519
160.3306891,69.17789852
152.6826865,68.54148596
169.4989254,54.00585926
174.3163385,68.57303117
175.769346,63.26004402
178.1835373,68.60309077
146.463596,68.24604679
159.9485557,66.42828167
171.0665229,77.51070914
185.1900328,73.57643322
177.8374449,79.01723612
189.0134005,59.40138104
164.7506058,64.80835258
172.74417,69.67775345
159.0002919,66.74688824
165.9564778,69.3659382
162.6470428,60.54317281
163.6601134,64.27057554
166.0655088,56.86756836
170.0271754,62.87979559
170.2221266,75.55341376
175.4345344,68.28634492
171.3998847,82.04602591
166.5595437,65.23572901
164.7742146,70.95256865
166.9286828,60.29398136
165.5096286,90.80537496
174.9097106,68.57103521
178.6552519,76.63703872
182.7404454,73.30708017
162.0229724,65.32896948
174.6937223,59.35278975
156.0532036,71.249145
173.7317472,65.54568205
180.8267228,68.75596559
168.504105,75.21041647
180.7263605,70.62592925
158.6143213,73.01693038
161.1135472,71.20037261
168.6419016,58.26200534
180.2221035,81.16849757
165.8257054,79.40681837
165.464469,60.91068117
160.0837164,74.04240489
172.0288104,64.70380584
182.4669514,64.0246693
177.0068011,69.96126671
176.9665065,83.98134584
167.9302553,78.46366049
164.3669064,74.84177087
176.7724592,60.79515491
169.6808892,90.43559535
168.2639176,76.98984837
178.9824062,51.20930064
168.0221255,73.19579468
161.6222374,66.09044227
179.091885,73.27985885
170.8071989,73.20512293
159.6297066,62.65184739
158.8709411,84.60708602
170.9541188,71.59827697
193.3740966,77.53078325
166.071794,80.81138852
166.6372614,64.09473922
185.237712,62.70585212
169.427188,78.97525879
155.5153314,81.14269946
154.2720355,58.98385143
182.2666397,86.08994549
176.6635454,68.11597349
178.2612571,75.53427623
169.4224344,74.51510567
162.7328797,62.22926144
167.8283688,63.08761489
171.3603122,53.33126129
161.6168884,60.79079891
175.6144991,58.14019231
157.4040383,70.32152413
166.6724124,80.95521722
167.9599213,69.78284055
163.0898019,72.7108333
147.9449464,76.22402835
174.4786966,75.43767553
162.4424924,66.913348
183.2570796,58.29323951
166.5801772,66.56155592
164.5864041,70.50367484
170.9152195,63.0268383
180.5343975,72.89568569
164.3659234,67.65830323
180.1473769,74.97457222
184.4030364,63.57408419
179.9032281,62.62425873
186.2643149,84.1924507
182.9264602,70.2300499
185.1488229,74.4237108
186.0432632,61.21262198
172.0806953,66.98188436
165.707761,75.45735586
147.3775636,82.52492688
156.7726688,64.2041194
165.517172,63.57666071
166.1826491,69.81864848
168.4720554,57.8048388
159.9923951,69.75893355
154.0422239,69.48217292
168.6977683,75.7979932
168.1058207,81.31687794
161.9244596,74.55875454
162.5784784,75.93240841
160.5984341,70.41823161
166.0347626,67.12204339
161.4369717,54.03218505
182.5987533,62.91023345
172.4099673,71.73813348
160.2768208,56.83525021
167.1955222,71.94311858
158.1971439,66.79332232
180.121683,61.82752118
183.8418672,66.23980547
182.5200198,75.83025217
158.5530737,77.08400888
169.0873298,54.50382874
165.9842932,68.8041279
175.6201311,77.31107727
159.920902,67.93684112
163.2410831,70.87052217
165.8678297,58.036713
171.5328847,66.15973075
176.9412871,84.63020344
166.7127231,63.69545572
176.6396508,58.47494125
178.2207636,71.19577407
167.8678476,76.30903466
157.5434187,79.55048393
158.2880966,65.85821886
175.9172698,71.77980461
165.2377556,74.35483903
152.8737068,75.19368422
176.1295237,65.62237805
171.2955452,83.70179945
155.9403292,64.50162382
181.7941998,75.66297727
178.3663599,69.82471011
171.3874525,65.30225149
157.2568063,64.85718961
155.9766947,65.30922471
166.9293151,66.42503148
152.8608461,61.84891521
174.0508027,75.57927763
155.8917669,64.37187748
171.6491273,65.07983321
167.1186855,73.90952473
177.1178527,69.13630445
160.620524,58.62477092
172.7372945,62.51192401
156.0515981,68.42754204
177.9554955,65.4000973
168.8503823,76.0038603
174.9585067,63.88478377
156.7947465,62.26298343
174.9908428,61.91563033
173.062034,73.25325798
173.6369789,73.86777381
173.1263396,56.6204433
168.0653612,74.97660157
182.4129922,76.88778616
168.4410201,56.47201791
162.608308,64.47654857
169.4127381,81.43113939
160.4948205,78.04881365
165.3600358,70.19834127
168.2275338,74.00999517
166.2044588,86.89615699
171.9939707,74.02237579
189.4576139,60.23352911
175.7094984,80.919512
180.7230065,63.03248888
164.9629056,77.95121789
164.1298371,75.25016529
166.2182195,77.11610842
178.528891,82.3274638
148.5188152,58.27268537
159.6683522,69.44329156
171.0233585,85.56839602
167.7590763,77.81105396
189.6772968,71.4172667
174.4768322,61.81461496
163.3780856,70.85376394
154.2239293,62.70494961
166.5943997,58.25306435
156.9677992,74.61182962
174.6675065,70.52244484
171.6110632,63.81189758
173.2003193,73.15958551
190.7917666,65.9688809
160.9253402,84.23647267
168.0759579,69.75542045
157.8748426,82.6167057
169.1940148,63.49758319
