fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-02-19,28.0,950.0,30.0,0,638.0,75.0,138.0,64.0,14.0
2018-02-20,37.0,1005.0,52.0,0,443.0,63.0,291.0,58.0,20.0
2018-02-21,39.0,998.0,52.0,0,818.0,81.0,61.0,67.0,22.0
2018-02-22,35.0,1039.0,98.0,1,673.0,18.0,137.0,47.0,18.0
2018-02-23,39.0,982.0,47.0,1,364.0,98.0,257.0,44.0,10.0
2018-02-24,31.0,1025.0,51.0,0,540.0,5.0,245.0,65.0,20.0
2018-02-25,33.0,1107.0,63.0,1,630.0,33.0,48.0,49.0,15.0
2018-02-26,31.0,1020.0,28.0,1,149.0,2.0,423.0,33.0,12.0
2018-02-27,35.0,1024.0,54.0,1,229.0,56.0,415.0,49.0,15.0
2018-02-28,30.0,946.0,45.0,0,658.0,93.0,360.0,35.0,26.0
2018-03-01,24.0,1033.0,93.0,1,636.0,33.0,235.0,51.0,9.0
2018-03-02,30.0,1019.0,25.0,0,196.0,21.0,327.0,55.0,12.0
2018-03-03,31.0,1097.0,52.0,0,866.0,32.0,178.0,61.0,18.0
2018-03-04,33.0,995.0,40.0,1,896.0,28.0,194.0,28.0,17.0
2018-03-05,45.0,988.0,40.0,0,722.0,17.0,399.0,47.0,31.0
2018-03-06,38.0,961.0,94.0,0,112.0,90.0,287.0,55.0,20.0
2018-03-07,30.0,966.0,82.0,0,611.0,63.0,155.0,61.0,19.0
2018-03-08,41.0,1078.0,29.0,1,965.0,61.0,418.0,51.0,19.0
2018-03-09,39.0,987.0,23.0,1,120.0,13.0,129.0,55.0,15.0
2018-03-10,36.0,1017.0,99.0,0,216.0,10.0,172.0,48.0,24.0
2018-03-11,40.0,1093.0,55.0,0,430.0,19.0,158.0,33.0,18.0
2018-03-12,23.0,967.0,27.0,0,454.0,73.0,56.0,51.0,17.0
2018-03-13,42.0,1024.0,25.0,1,961.0,9.0,152.0,63.0,13.0
2018-03-14,32.0,953.0,89.0,0,480.0,83.0,124.0,48.0,19.0
2018-03-15,30.0,1021.0,66.0,1,311.0,96.0,266.0,60.0,15.0
2018-03-16,25.0,1035.0,57.0,0,452.0,16.0,41.0,49.0,16.0
2018-03-17,38.0,965.0,42.0,0,945.0,44.0,272.0,59.0,23.0
2018-03-18,39.0,971.0,94.0,1,101.0,76.0,212.0,48.0,18.0
2018-03-19,21.0,989.0,39.0,1,275.0,22.0,360.0,39.0,9.0
2018-03-20,36.0,1087.0,60.0,1,989.0,75.0,88.0,43.0,25.0
2018-03-21,27.0,1068.0,75.0,1,651.0,14.0,315.0,46.0,17.0
2018-03-22,33.0,943.0,47.0,0,535.0,66.0,142.0,37.0,21.0
2018-03-23,26.0,1003.0,88.0,0,740.0,17.0,492.0,34.0,29.0
2018-03-24,41.0,1076.0,72.0,1,808.0,36.0,73.0,56.0,23.0
2018-03-25,31.0,954.0,27.0,1,949.0,67.0,381.0,55.0,15.0
2018-03-26,27.0,1104.0,78.0,0,696.0,67.0,198.0,56.0,20.0
2018-03-27,27.0,1038.0,36.0,0,494.0,50.0,427.0,70.0,23.0
2018-03-28,36.0,985.0,84.0,0,203.0,23.0,439.0,48.0,17.0
2018-03-29,39.0,988.0,36.0,0,260.0,17.0,257.0,52.0,13.0
2018-03-30,28.0,952.0,77.0,1,864.0,2.0,21.0,64.0,16.0
2018-03-31,27.0,1014.0,56.0,0,518.0,84.0,432.0,41.0,20.0
2018-04-01,30.0,1036.0,51.0,1,877.0,55.0,98.0,50.0,23.0
2018-04-02,27.0,958.0,87.0,1,365.0,7.0,63.0,57.0,23.0
2018-04-03,21.0,1040.0,95.0,0,633.0,27.0,499.0,45.0,36.0
2018-04-04,26.0,975.0,46.0,0,526.0,40.0,498.0,48.0,17.0
2018-04-05,30.0,956.0,47.0,1,211.0,88.0,239.0,45.0,20.0
2018-04-06,21.0,991.0,90.0,1,176.0,36.0,427.0,38.0,26.0
2018-04-07,28.0,868.0,82.0,0,940.0,51.0,227.0,48.0,26.0
2018-04-08,30.0,988.0,61.0,0,886.0,37.0,121.0,49.0,26.0
2018-04-09,25.0,1036.0,25.0,0,674.0,15.0,63.0,49.0,26.0
2018-04-10,22.0,1023.0,72.0,1,498.0,19.0,482.0,53.0,29.0
2018-04-11,28.0,1132.0,45.0,0,792.0,7.0,112.0,44.0,32.0
2018-04-12,23.0,991.0,84.0,1,900.0,22.0,85.0,43.0,23.0
2018-04-13,37.0,1014.0,41.0,1,335.0,19.0,173.0,40.0,15.0
2018-04-14,20.0,1038.0,98.0,1,140.0,23.0,466.0,53.0,28.0
2018-04-15,27.0,1005.0,63.0,1,759.0,90.0,221.0,37.0,23.0
2018-04-16,32.0,1010.0,40.0,1,426.0,58.0,473.0,53.0,19.0
2018-04-17,23.0,1053.0,61.0,1,863.0,52.0,145.0,41.0,29.0
2018-04-18,19.0,969.0,27.0,0,787.0,70.0,337.0,42.0,27.0
2018-04-19,19.0,978.0,23.0,0,272.0,87.0,71.0,46.0,23.0
2018-04-20,21.0,1033.0,63.0,0,236.0,77.0,239.0,57.0,34.0
2018-04-21,22.0,1003.0,74.0,0,559.0,12.0,110.0,37.0,29.0
2018-04-22,25.0,1003.0,59.0,0,497.0,38.0,156.0,45.0,28.0
2018-04-23,26.0,943.0,72.0,0,572.0,53.0,156.0,60.0,26.0
2018-04-24,28.0,1098.0,83.0,0,755.0,76.0,94.0,42.0,34.0
2018-04-25,27.0,964.0,29.0,0,938.0,78.0,40.0,34.0,33.0
2018-04-26,17.0,1057.0,22.0,0,973.0,30.0,340.0,38.0,29.0
2018-04-27,31.0,953.0,96.0,0,716.0,94.0,333.0,64.0,28.0
2018-04-28,21.0,971.0,86.0,1,636.0,16.0,36.0,42.0,20.0
2018-04-29,17.0,949.0,25.0,1,590.0,43.0,218.0,68.0,23.0
2018-04-30,27.0,921.0,95.0,0,126.0,6.0,288.0,49.0,20.0
2018-05-01,24.0,1032.0,75.0,0,403.0,8.0,69.0,46.0,29.0
2018-05-02,22.0,976.0,28.0,0,973.0,92.0,238.0,61.0,28.0
2018-05-03,22.0,982.0,80.0,1,391.0,15.0,131.0,54.0,23.0
2018-05-04,30.0,1035.0,22.0,1,889.0,29.0,439.0,53.0,23.0
2018-05-05,25.0,1009.0,71.0,0,979.0,80.0,96.0,48.0,31.0
2018-05-06,24.0,945.0,61.0,1,488.0,87.0,456.0,56.0,29.0
2018-05-07,26.0,962.0,23.0,1,630.0,65.0,473.0,55.0,25.0
2018-05-08,18.0,991.0,93.0,0,209.0,33.0,427.0,48.0,27.0
2018-05-09,25.0,1068.0,68.0,0,126.0,10.0,123.0,46.0,25.0
2018-05-10,24.0,1007.0,98.0,1,575.0,84.0,4.0,44.0,34.0
2018-05-11,29.0,1096.0,79.0,1,174.0,56.0,66.0,41.0,22.0
2018-05-12,26.0,1029.0,66.0,0,282.0,37.0,472.0,49.0,30.0
2018-05-13,34.0,1081.0,90.0,1,463.0,56.0,303.0,28.0,23.0
2018-05-14,28.0,1043.0,23.0,0,610.0,30.0,152.0,31.0,28.0
2018-05-15,26.0,955.0,44.0,0,943.0,90.0,310.0,33.0,25.0
2018-05-16,22.0,1084.0,79.0,1,155.0,55.0,172.0,56.0,27.0
2018-05-17,19.0,1019.0,97.0,1,720.0,19.0,265.0,53.0,26.0
2018-05-18,20.0,1037.0,100.0,0,546.0,70.0,99.0,69.0,31.0
2018-05-19,34.0,1050.0,75.0,0,313.0,18.0,85.0,43.0,28.0
2018-05-20,28.0,998.0,29.0,1,768.0,92.0,294.0,50.0,21.0
2018-05-21,23.0,883.0,58.0,1,389.0,88.0,239.0,51.0,21.0
2018-05-22,31.0,1058.0,88.0,0,613.0,35.0,70.0,48.0,23.0
2018-05-23,15.0,964.0,88.0,0,207.0,57.0,88.0,46.0,35.0
2018-05-24,21.0,982.0,88.0,0,285.0,83.0,165.0,49.0,29.0
2018-05-25,24.0,996.0,94.0,1,538.0,7.0,474.0,28.0,26.0
2018-05-26,12.0,1005.0,39.0,1,409.0,20.0,46.0,50.0,19.0
2018-05-27,33.0,977.0,54.0,1,960.0,98.0,300.0,52.0,25.0
2018-05-28,32.0,1011.0,33.0,0,416.0,93.0,378.0,78.0,22.0
2018-05-29,22.0,980.0,63.0,0,384.0,38.0,243.0,46.0,21.0
2018-05-30,25.0,956.0,91.0,0,538.0,18.0,160.0,46.0,22.0
2018-05-31,24.0,949.0,96.0,0,766.0,88.0,491.0,39.0,41.0
2018-06-01,32.0,956.0,48.0,1,588.0,60.0,365.0,57.0,21.0
2018-06-02,29.0,983.0,41.0,0,554.0,24.0,190.0,52.0,28.0
2018-06-03,25.0,1053.0,68.0,1,672.0,100.0,204.0,65.0,20.0
2018-06-04,37.0,1022.0,22.0,1,742.0,93.0,169.0,54.0,31.0
2018-06-05,20.0,963.0,82.0,1,145.0,80.0,98.0,51.0,21.0
2018-06-06,23.0,1051.0,89.0,1,551.0,6.0,405.0,42.0,36.0
2018-06-07,28.0,1078.0,26.0,0,109.0,38.0,498.0,52.0,34.0
2018-06-08,27.0,1040.0,71.0,0,960.0,95.0,212.0,50.0,29.0
2018-06-09,28.0,1009.0,46.0,0,708.0,0.0,295.0,43.0,25.0
2018-06-10,25.0,946.0,83.0,1,844.0,85.0,96.0,54.0,33.0
2018-06-11,30.0,966.0,52.0,0,483.0,21.0,342.0,73.0,21.0
2018-06-12,30.0,988.0,43.0,1,726.0,27.0,150.0,46.0,23.0
2018-06-13,30.0,1010.0,46.0,1,910.0,70.0,39.0,59.0,30.0
2018-06-14,26.0,939.0,96.0,1,330.0,25.0,60.0,47.0,25.0
2018-06-15,31.0,1030.0,53.0,1,452.0,55.0,453.0,46.0,26.0
2018-06-16,22.0,1003.0,66.0,1,714.0,11.0,280.0,38.0,23.0
2018-06-17,33.0,935.0,40.0,1,657.0,57.0,490.0,54.0,24.0
2018-06-18,27.0,1019.0,65.0,0,599.0,32.0,215.0,57.0,31.0
2018-06-19,28.0,848.0,84.0,0,847.0,87.0,324.0,59.0,32.0
2018-06-20,18.0,1082.0,45.0,0,200.0,44.0,434.0,49.0,25.0
2018-06-21,18.0,1041.0,79.0,0,769.0,77.0,37.0,67.0,39.0
2018-06-22,19.0,996.0,55.0,1,938.0,30.0,485.0,48.0,30.0
2018-06-23,32.0,1022.0,71.0,0,628.0,42.0,444.0,55.0,28.0
2018-06-24,23.0,933.0,23.0,0,422.0,67.0,99.0,67.0,30.0
2018-06-25,21.0,994.0,80.0,1,381.0,69.0,394.0,47.0,18.0
2018-06-26,26.0,1034.0,67.0,1,230.0,14.0,95.0,58.0,20.0
2018-06-27,12.0,980.0,40.0,0,502.0,12.0,260.0,70.0,23.0
2018-06-28,38.0,970.0,44.0,1,741.0,34.0,255.0,62.0,24.0
2018-06-29,33.0,1031.0,71.0,0,259.0,97.0,210.0,41.0,36.0
2018-06-30,25.0,948.0,74.0,0,113.0,40.0,295.0,46.0,24.0
2018-07-01,24.0,983.0,38.0,1,218.0,95.0,185.0,32.0,26.0
2018-07-02,28.0,1048.0,23.0,0,550.0,23.0,187.0,59.0,28.0
2018-07-03,27.0,895.0,74.0,1,508.0,57.0,359.0,38.0,28.0
2018-07-04,27.0,1079.0,44.0,0,728.0,9.0,67.0,55.0,29.0
2018-07-05,25.0,993.0,67.0,0,843.0,11.0,175.0,44.0,25.0
2018-07-06,28.0,1065.0,23.0,0,343.0,13.0,225.0,43.0,22.0
2018-07-07,26.0,1030.0,58.0,0,733.0,79.0,228.0,56.0,30.0
2018-07-08,23.0,986.0,64.0,1,954.0,76.0,87.0,29.0,21.0
2018-07-09,22.0,930.0,96.0,0,284.0,39.0,163.0,43.0,27.0
2018-07-10,30.0,939.0,96.0,1,940.0,25.0,336.0,50.0,24.0
2018-07-11,25.0,1089.0,29.0,1,997.0,80.0,162.0,56.0,27.0
2018-07-12,25.0,982.0,65.0,1,469.0,57.0,402.0,50.0,14.0
2018-07-13,21.0,956.0,99.0,1,973.0,87.0,23.0,61.0,26.0
2018-07-14,23.0,990.0,33.0,0,660.0,76.0,378.0,42.0,33.0
2018-07-15,24.0,1016.0,75.0,0,274.0,85.0,97.0,33.0,26.0
2018-07-16,24.0,1009.0,49.0,0,483.0,95.0,349.0,48.0,26.0
2018-07-17,27.0,992.0,36.0,0,216.0,5.0,154.0,30.0,28.0
2018-07-18,26.0,1011.0,73.0,0,171.0,13.0,21.0,49.0,23.0
2018-07-19,25.0,1033.0,99.0,0,315.0,76.0,97.0,57.0,28.0
2018-07-20,24.0,921.0,20.0,1,870.0,82.0,241.0,43.0,22.0
2018-07-21,24.0,1018.0,62.0,0,425.0,88.0,205.0,55.0,23.0
2018-07-22,30.0,970.0,93.0,0,406.0,52.0,297.0,34.0,19.0
2018-07-23,25.0,1058.0,24.0,0,497.0,78.0,333.0,49.0,24.0
2018-07-24,34.0,929.0,68.0,0,611.0,77.0,171.0,57.0,27.0
2018-07-25,31.0,950.0,81.0,1,708.0,98.0,193.0,49.0,22.0
2018-07-26,20.0,941.0,69.0,1,682.0,43.0,424.0,41.0,26.0
2018-07-27,20.0,981.0,60.0,0,408.0,61.0,324.0,20.0,19.0
2018-07-28,36.0,1042.0,30.0,1,788.0,58.0,136.0,51.0,26.0
2018-07-29,20.0,997.0,55.0,0,175.0,48.0,246.0,37.0,18.0
2018-07-30,14.0,1010.0,42.0,0,822.0,74.0,411.0,36.0,35.0
2018-07-31,30.0,972.0,76.0,1,550.0,6.0,372.0,34.0,24.0
2018-08-01,36.0,973.0,24.0,1,138.0,88.0,167.0,50.0,25.0
2018-08-02,24.0,985.0,95.0,0,459.0,95.0,223.0,51.0,20.0
2018-08-03,27.0,1043.0,89.0,0,838.0,62.0,496.0,51.0,27.0
2018-08-04,23.0,986.0,51.0,1,345.0,43.0,434.0,43.0,23.0
2018-08-05,30.0,1024.0,95.0,1,262.0,28.0,207.0,32.0,19.0
2018-08-06,30.0,1040.0,92.0,0,611.0,98.0,72.0,53.0,26.0
2018-08-07,8.0,1078.0,45.0,0,370.0,92.0,361.0,41.0,25.0
2018-08-08,28.0,1068.0,75.0,0,861.0,35.0,441.0,57.0,32.0
2018-08-09,20.0,1045.0,74.0,1,990.0,82.0,207.0,42.0,37.0
2018-08-10,31.0,1020.0,88.0,1,501.0,40.0,33.0,73.0,17.0
2018-08-11,19.0,1003.0,88.0,1,299.0,77.0,60.0,54.0,23.0
2018-08-12,26.0,1011.0,58.0,1,937.0,21.0,75.0,62.0,22.0
2018-08-13,24.0,979.0,69.0,1,272.0,5.0,121.0,47.0,12.0
2018-08-14,21.0,979.0,51.0,1,607.0,58.0,155.0,54.0,11.0
2018-08-15,18.0,1024.0,51.0,0,861.0,44.0,453.0,64.0,29.0
2018-08-16,18.0,976.0,43.0,0,472.0,13.0,259.0,72.0,16.0
2018-08-17,23.0,1030.0,54.0,0,181.0,96.0,318.0,41.0,28.0
2018-08-18,22.0,1017.0,63.0,0,788.0,42.0,484.0,36.0,25.0
2018-08-19,34.0,989.0,61.0,0,707.0,47.0,233.0,50.0,22.0
2018-08-20,24.0,1076.0,99.0,0,287.0,26.0,344.0,37.0,21.0
2018-08-21,28.0,1015.0,92.0,0,318.0,10.0,395.0,53.0,33.0
2018-08-22,20.0,862.0,83.0,0,150.0,66.0,439.0,43.0,24.0
2018-08-23,20.0,943.0,34.0,0,737.0,47.0,346.0,58.0,28.0
2018-08-24,21.0,1085.0,47.0,1,768.0,86.0,215.0,44.0,19.0
2018-08-25,27.0,965.0,85.0,1,403.0,3.0,295.0,57.0,22.0
2018-08-26,22.0,921.0,85.0,0,965.0,28.0,29.0,73.0,23.0
2018-08-27,21.0,1009.0,48.0,1,970.0,89.0,360.0,30.0,30.0
2018-08-28,27.0,1023.0,47.0,0,308.0,84.0,360.0,56.0,31.0
2018-08-29,22.0,1008.0,66.0,0,980.0,91.0,64.0,57.0,29.0
2018-08-30,22.0,997.0,64.0,1,851.0,55.0,216.0,38.0,25.0
2018-08-31,18.0,1068.0,56.0,1,126.0,74.0,167.0,51.0,33.0
2018-09-01,22.0,986.0,92.0,0,174.0,69.0,62.0,57.0,17.0
2018-09-02,21.0,1016.0,23.0,1,916.0,26.0,328.0,41.0,17.0
2018-09-03,20.0,930.0,46.0,0,345.0,11.0,265.0,49.0,13.0
2018-09-04,27.0,931.0,61.0,0,135.0,17.0,25.0,49.0,13.0
2018-09-05,23.0,992.0,73.0,1,976.0,10.0,438.0,36.0,20.0
2018-09-06,26.0,945.0,38.0,0,989.0,84.0,77.0,45.0,27.0
2018-09-07,31.0,1066.0,73.0,0,413.0,83.0,185.0,64.0,29.0
2018-09-08,30.0,957.0,58.0,1,180.0,43.0,110.0,40.0,20.0
2018-09-09,16.0,1001.0,78.0,0,752.0,49.0,272.0,42.0,29.0
2018-09-10,26.0,1011.0,37.0,1,626.0,69.0,45.0,56.0,17.0
2018-09-11,21.0,948.0,87.0,0,221.0,22.0,182.0,40.0,23.0
2018-09-12,24.0,1009.0,85.0,1,225.0,12.0,226.0,53.0,23.0
2018-09-13,30.0,955.0,37.0,0,964.0,79.0,237.0,58.0,26.0
2018-09-14,27.0,1014.0,50.0,1,171.0,72.0,354.0,34.0,30.0
2018-09-15,24.0,1058.0,25.0,0,960.0,2.0,276.0,58.0,23.0
2018-09-16,24.0,1102.0,99.0,1,711.0,93.0,44.0,53.0,23.0
2018-09-17,25.0,1004.0,61.0,0,184.0,1.0,95.0,58.0,31.0
2018-09-18,18.0,965.0,39.0,0,711.0,19.0,472.0,62.0,25.0
2018-09-19,24.0,1058.0,72.0,0,298.0,50.0,498.0,55.0,30.0
2018-09-20,31.0,988.0,91.0,1,300.0,39.0,81.0,45.0,23.0
2018-09-21,21.0,988.0,93.0,0,577.0,25.0,30.0,57.0,24.0
2018-09-22,25.0,961.0,78.0,0,515.0,36.0,209.0,42.0,20.0
2018-09-23,31.0,997.0,29.0,0,891.0,96.0,223.0,51.0,22.0
2018-09-24,35.0,988.0,35.0,1,450.0,8.0,269.0,50.0,14.0
2018-09-25,14.0,1005.0,97.0,1,913.0,26.0,246.0,49.0,30.0
2018-09-26,23.0,1026.0,21.0,0,500.0,29.0,130.0,37.0,28.0
2018-09-27,20.0,1033.0,95.0,0,861.0,85.0,89.0,36.0,30.0
2018-09-28,22.0,981.0,80.0,0,367.0,31.0,499.0,52.0,22.0
2018-09-29,31.0,970.0,74.0,1,474.0,84.0,468.0,47.0,30.0
2018-09-30,25.0,968.0,58.0,0,769.0,83.0,410.0,59.0,32.0
2018-10-01,34.0,977.0,29.0,1,950.0,94.0,17.0,53.0,9.0
2018-10-02,27.0,990.0,91.0,0,246.0,54.0,36.0,30.0,15.0
2018-10-03,36.0,942.0,61.0,1,122.0,100.0,118.0,36.0,16.0
2018-10-04,28.0,1013.0,56.0,0,747.0,35.0,271.0,51.0,16.0
2018-10-05,33.0,1032.0,90.0,1,407.0,23.0,350.0,31.0,22.0
2018-10-06,36.0,966.0,93.0,1,404.0,76.0,129.0,64.0,6.0
2018-10-07,29.0,1046.0,43.0,0,509.0,53.0,188.0,61.0,21.0
2018-10-08,31.0,1037.0,94.0,1,473.0,17.0,266.0,49.0,20.0
2018-10-09,33.0,1000.0,84.0,0,845.0,73.0,92.0,42.0,25.0
2018-10-10,35.0,982.0,25.0,0,418.0,69.0,449.0,63.0,12.0
2018-10-11,26.0,974.0,100.0,1,264.0,1.0,345.0,57.0,12.0
2018-10-12,33.0,1011.0,78.0,1,210.0,37.0,323.0,50.0,20.0
2018-10-13,41.0,1024.0,91.0,0,911.0,93.0,309.0,60.0,29.0
2018-10-14,30.0,1001.0,60.0,1,156.0,93.0,250.0,59.0,19.0
2018-10-15,32.0,949.0,77.0,0,971.0,47.0,282.0,46.0,21.0
2018-10-16,31.0,1127.0,51.0,0,445.0,41.0,118.0,64.0,13.0
2018-10-17,35.0,932.0,54.0,0,225.0,35.0,320.0,55.0,14.0
2018-10-18,30.0,991.0,84.0,0,660.0,93.0,317.0,58.0,18.0
2018-10-19,31.0,968.0,80.0,0,322.0,53.0,251.0,62.0,24.0
2018-10-20,32.0,1050.0,97.0,0,367.0,33.0,488.0,63.0,22.0
2018-10-21,33.0,1020.0,79.0,1,585.0,0.0,373.0,48.0,23.0
2018-10-22,26.0,1008.0,96.0,1,582.0,45.0,13.0,58.0,20.0
2018-10-23,35.0,968.0,24.0,0,632.0,36.0,178.0,60.0,9.0
2018-10-24,33.0,956.0,24.0,0,809.0,40.0,490.0,66.0,19.0
2018-10-25,34.0,905.0,77.0,0,331.0,83.0,186.0,55.0,24.0
2018-10-26,32.0,1004.0,28.0,0,322.0,54.0,453.0,48.0,25.0
2018-10-27,33.0,1031.0,36.0,0,515.0,36.0,451.0,51.0,22.0
2018-10-28,23.0,1009.0,80.0,0,710.0,17.0,1.0,60.0,19.0
2018-10-29,34.0,1007.0,56.0,0,821.0,82.0,118.0,49.0,25.0
2018-10-30,37.0,998.0,68.0,0,162.0,55.0,438.0,48.0,16.0
2018-10-31,31.0,935.0,92.0,0,207.0,92.0,458.0,58.0,22.0
2018-11-01,30.0,1025.0,87.0,0,541.0,8.0,485.0,49.0,20.0
2018-11-02,21.0,1000.0,80.0,1,464.0,65.0,60.0,51.0,10.0
2018-11-03,34.0,984.0,26.0,1,760.0,33.0,409.0,47.0,18.0
2018-11-04,29.0,1023.0,57.0,1,776.0,72.0,300.0,49.0,16.0
2018-11-05,33.0,1111.0,79.0,1,350.0,80.0,359.0,42.0,22.0
2018-11-06,14.0,990.0,78.0,1,318.0,50.0,45.0,59.0,19.0
2018-11-07,16.0,992.0,35.0,0,820.0,74.0,374.0,45.0,24.0
2018-11-08,35.0,1026.0,75.0,0,905.0,64.0,499.0,45.0,16.0
2018-11-09,39.0,1064.0,34.0,1,661.0,71.0,341.0,37.0,27.0
2018-11-10,34.0,1040.0,61.0,1,903.0,72.0,213.0,48.0,15.0
2018-11-11,21.0,986.0,49.0,1,454.0,1.0,97.0,50.0,15.0
2018-11-12,31.0,1100.0,59.0,1,918.0,13.0,385.0,64.0,21.0
2018-11-13,41.0,965.0,38.0,1,677.0,20.0,395.0,50.0,7.0
2018-11-14,34.0,991.0,31.0,0,910.0,20.0,110.0,55.0,20.0
2018-11-15,34.0,1010.0,61.0,1,550.0,44.0,477.0,63.0,12.0
2018-11-16,28.0,964.0,65.0,1,825.0,0.0,61.0,38.0,13.0
2018-11-17,27.0,1036.0,91.0,0,923.0,85.0,107.0,64.0,27.0
2018-11-18,33.0,994.0,91.0,1,469.0,25.0,252.0,37.0,19.0
2018-11-19,41.0,1063.0,21.0,1,392.0,47.0,183.0,56.0,12.0
2018-11-20,28.0,1113.0,37.0,1,926.0,58.0,111.0,47.0,10.0
2018-11-21,30.0,1052.0,90.0,1,785.0,40.0,244.0,59.0,25.0
2018-11-22,38.0,1036.0,22.0,0,930.0,35.0,298.0,48.0,22.0
2018-11-23,27.0,1031.0,46.0,0,420.0,27.0,118.0,52.0,21.0
2018-11-24,37.0,928.0,30.0,0,226.0,47.0,448.0,35.0,16.0
2018-11-25,34.0,985.0,34.0,1,188.0,98.0,250.0,71.0,17.0
2018-11-26,30.0,1057.0,62.0,0,653.0,67.0,406.0,66.0,18.0
2018-11-27,31.0,993.0,27.0,0,554.0,60.0,376.0,56.0,19.0
2018-11-28,43.0,1056.0,97.0,0,689.0,91.0,484.0,61.0,28.0
2018-11-29,30.0,998.0,62.0,0,915.0,48.0,366.0,50.0,15.0
2018-11-30,23.0,922.0,90.0,1,377.0,16.0,304.0,52.0,13.0
2018-12-01,39.0,927.0,93.0,0,916.0,44.0,333.0,35.0,20.0
2018-12-02,30.0,1011.0,21.0,0,608.0,25.0,39.0,49.0,22.0
2018-12-03,36.0,1013.0,60.0,0,568.0,38.0,256.0,53.0,17.0
2018-12-04,34.0,1092.0,26.0,1,824.0,32.0,217.0,77.0,18.0
2018-12-05,39.0,1041.0,80.0,1,753.0,31.0,240.0,37.0,20.0
2018-12-06,31.0,995.0,79.0,1,998.0,24.0,245.0,44.0,12.0
2018-12-07,27.0,1103.0,48.0,0,402.0,25.0,74.0,46.0,23.0
2018-12-08,37.0,953.0,37.0,1,806.0,96.0,477.0,64.0,11.0
2018-12-09,33.0,952.0,49.0,1,986.0,7.0,389.0,41.0,19.0
2018-12-10,27.0,970.0,69.0,1,770.0,88.0,180.0,35.0,20.0
