Tipo_Prenda,Género,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesión,Género_Incluyente,Calidad
Camisa,Dama,Negro,Deportivo,Marca B,1128.84,40,12,20,Deportes,Hombre,Regular
Pantalón,Dama,Azul,Casual,Marca D,1826.88,34,11,25,Artes,Mujer,Regular
Camisa,Dama,Azul,Formal,Marca A,1360.63,39,0,28,Educación,HombreMujer,Regular
Falda,Dama,Negro,Casual,Marca B,1501.57,40,1,30,Deportes,Mujer,Regular
Pantalón,Dama,Azul,Deportivo,Marca A,1118.12,41,18,28,Deportes,Hombre,Regular
Chaqueta,Dama,Verde,Casual,Marca D,1647.05,40,6,24,Educación,Hombre,Regular
Chaqueta,Dama,Negro,Deportivo,Marca A,1388.47,32,17,20,Deportes,Mujer,Regular
Falda,Caballero,Rojo,Formal,Marca C,1693.16,33,10,30,Ingeniería,Mujer,Regular
Pantalón,Caballero,Azul,Casual,Marca D,236.57,38,9,26,Educación,HombreMujer,Regular
Falda,Caballero,Negro,Casual,Marca B,1101.08,38,4,22,Educación,Mujer,Regular
Camisa,Dama,Rojo,Formal,Marca B,232.54,32,8,26,Artes,Hombre,Regular
Pantalón,Caballero,Azul,Casual,Marca B,298.14,37,16,24,Ciencias de la Salud,Mujer,Regular
Vestido,Caballero,Azul,Casual,Marca D,828.89,35,7,21,Ciencias Sociales y Humanidades,Hombre,Regular
Chaqueta,Caballero,Blanco,Formal,Marca B,209.3,36,1,29,Ciencias de la Salud,Mujer,Regular
Camisa,Dama,Blanco,Casual,Marca D,730.43,39,15,27,Ciencias Sociales y Humanidades,Mujer,Regular
Chaqueta,Dama,Negro,Casual,Marca A,393.59,32,15,20,Deportes,Mujer,Regular
Camisa,Caballero,Verde,Casual,Marca B,288.28,34,5,26,Educación,Mujer,Regular
Falda,Caballero,Negro,Formal,Marca B,259.18,45,9,28,Artes,Mujer,Regular
Pantalón,Dama,Verde,Formal,Marca A,550.29,34,0,27,Ciencias de la Salud,Hombre,Regular
Chaqueta,Dama,Blanco,Formal,Marca B,545.53,45,15,26,Deportes,HombreMujer,Regular
Falda,Dama,Rojo,Deportivo,Marca C,912.73,34,18,28,Ciencias de la Salud,Mujer,Regular
Falda,Caballero,Rojo,Formal,Marca C,1471.65,45,1,28,Ciencias de la Salud,Hombre,Regular
Pantalón,Dama,Blanco,Formal,Marca D,1570.5,44,20,21,Educación,Mujer,Regular
Chaqueta,Dama,Blanco,Casual,Marca C,787.07,41,16,30,Ciencias de la Salud,Hombre,Regular
Pantalón,Caballero,Blanco,Deportivo,Marca D,774.01,41,6,26,Ciencias de la Salud,HombreMujer,Regular
Pantalón,Caballero,Azul,Formal,Marca A,1534.63,32,2,29,Artes,Mujer,Regular
Pantalón,Dama,Azul,Formal,Marca C,366.14,38,8,24,Ingeniería,Mujer,Regular
Chaqueta,Dama,Negro,Formal,Marca D,1809.67,41,5,26,Ciencias de la Salud,Hombre,Regular
Chaqueta,Caballero,Azul,Deportivo,Marca A,1326.82,38,4,28,Artes,Hombre,Regular
Falda,Caballero,Negro,Formal,Marca D,1579.34,37,14,28,Ingeniería,HombreMujer,Regular
Pantalón,Dama,Azul,Deportivo,Marca D,1069.1,35,7,28,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Dama,Rojo,Deportivo,Marca C,1452.39,41,3,20,Ciencias de la Salud,Hombre,Regular
Pantalón,Dama,Blanco,Deportivo,Marca B,1281.92,39,10,24,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Caballero,Negro,Casual,Marca D,767.06,34,11,21,Ingeniería,Hombre,Regular
Falda,Dama,Rojo,Deportivo,Marca C,1693.03,44,12,28,Ingeniería,HombreMujer,Regular
Vestido,Caballero,Blanco,Casual,Marca D,642.9,43,15,21,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Negro,Deportivo,Marca D,624.26,37,11,30,Deportes,Mujer,Regular
Pantalón,Dama,Rojo,Formal,Marca A,522.67,40,14,24,Deportes,Hombre,Regular
Chaqueta,Dama,Blanco,Casual,Marca A,189.42,38,18,24,Ingeniería,Mujer,Regular
Chaqueta,Caballero,Negro,Casual,Marca A,332.99,32,10,22,Educación,HombreMujer,Regular
Chaqueta,Caballero,Rojo,Casual,Marca B,1163.4,37,8,25,Ciencias de la Salud,HombreMujer,Regular
Falda,Dama,Rojo,Deportivo,Marca B,1772.89,44,1,21,Educación,Mujer,Regular
Chaqueta,Dama,Blanco,Formal,Marca D,1801.14,40,14,22,Deportes,Mujer,Regular
Pantalón,Dama,Rojo,Casual,Marca C,1416.37,45,20,27,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Azul,Formal,Marca B,827.89,41,20,23,Deportes,Hombre,Regular
Chaqueta,Dama,Verde,Deportivo,Marca C,1534.44,44,4,24,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca D,313.76,45,9,30,Deportes,HombreMujer,Regular
Pantalón,Caballero,Azul,Formal,Marca D,1636.26,38,16,21,Deportes,Mujer,Regular
Camisa,Dama,Azul,Formal,Marca D,377.69,36,7,28,Deportes,HombreMujer,Regular
Chaqueta,Caballero,Rojo,Formal,Marca D,1745.82,34,4,29,Artes,Mujer,Regular
Falda,Caballero,Blanco,Formal,Marca A,1348.34,33,6,29,Artes,Mujer,Regular
Vestido,Dama,Negro,Formal,Marca C,1837.42,38,8,30,Ciencias de la Salud,Hombre,Regular
Vestido,Caballero,Verde,Casual,Marca B,1254.78,34,0,27,Ingeniería,HombreMujer,Regular
Vestido,Caballero,Blanco,Formal,Marca C,432.85,37,3,23,Deportes,Hombre,Regular
Pantalón,Caballero,Blanco,Formal,Marca D,1278.55,35,12,20,Educación,Mujer,Regular
Camisa,Dama,Negro,Casual,Marca D,823,39,14,22,Artes,Mujer,Regular
Camisa,Dama,Azul,Deportivo,Marca C,294.09,36,10,30,Deportes,HombreMujer,Regular
Vestido,Dama,Negro,Deportivo,Marca C,957.06,41,2,29,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Caballero,Rojo,Casual,Marca C,1099.58,36,8,22,Ciencias de la Salud,Hombre,Regular
Pantalón,Caballero,Negro,Deportivo,Marca C,1027.5,42,20,24,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Dama,Verde,Casual,Marca B,413.05,43,11,30,Ciencias de la Salud,Mujer,Regular
Vestido,Dama,Blanco,Casual,Marca A,1353.98,40,4,29,Ingeniería,Hombre,Regular
Falda,Caballero,Blanco,Formal,Marca B,1733.56,37,0,21,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Caballero,Rojo,Deportivo,Marca A,1108.91,38,11,30,Ingeniería,HombreMujer,Regular
Chaqueta,Dama,Verde,Deportivo,Marca B,1974.58,39,8,25,Artes,Mujer,Regular
Vestido,Dama,Blanco,Formal,Marca C,850.01,43,19,30,Educación,Mujer,Regular
Vestido,Dama,Blanco,Casual,Marca D,1465.99,44,4,20,Artes,Mujer,Regular
Vestido,Caballero,Rojo,Formal,Marca D,1585.03,36,19,26,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Caballero,Azul,Deportivo,Marca D,877.53,41,20,21,Ciencias de la Salud,Hombre,Regular
Pantalón,Caballero,Verde,Casual,Marca A,1246.28,39,7,29,Deportes,Hombre,Regular
Chaqueta,Dama,Rojo,Formal,Marca C,449.63,41,20,24,Educación,Mujer,Regular
Vestido,Caballero,Blanco,Deportivo,Marca A,1684.05,32,14,20,Ciencias Sociales y Humanidades,Hombre,Regular
Chaqueta,Dama,Negro,Deportivo,Marca C,926.68,45,12,20,Artes,Hombre,Regular
Falda,Caballero,Blanco,Casual,Marca A,488.88,42,4,29,Artes,Hombre,Regular
Chaqueta,Dama,Blanco,Formal,Marca A,1507.16,41,19,26,Deportes,Hombre,Regular
Camisa,Caballero,Verde,Formal,Marca C,1201.06,43,14,30,Deportes,Mujer,Regular
Vestido,Caballero,Rojo,Casual,Marca C,1449.83,45,16,22,Ciencias Sociales y Humanidades,HombreMujer,Regular
Pantalón,Dama,Azul,Deportivo,Marca B,1884.4,40,19,20,Educación,Hombre,Regular
Falda,Caballero,Blanco,Deportivo,Marca D,535.44,38,1,27,Ciencias de la Salud,Mujer,Regular
Chaqueta,Caballero,Azul,Formal,Marca D,1580.75,33,10,29,Educación,Hombre,Regular
Vestido,Dama,Rojo,Formal,Marca C,1350.49,45,5,23,Ingeniería,Hombre,Regular
Vestido,Dama,Rojo,Deportivo,Marca B,574.93,37,12,27,Ciencias Sociales y Humanidades,Mujer,Regular
Chaqueta,Caballero,Verde,Deportivo,Marca B,887.41,40,14,30,Artes,Hombre,Regular
Falda,Dama,Blanco,Casual,Marca D,999.96,37,13,30,Deportes,HombreMujer,Regular
Pantalón,Dama,Negro,Deportivo,Marca B,950.6,34,1,28,Artes,Mujer,Regular
Chaqueta,Dama,Negro,Casual,Marca A,263.63,37,16,28,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Caballero,Rojo,Deportivo,Marca A,1647.75,45,20,21,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Dama,Blanco,Formal,Marca A,1262.99,34,11,23,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Dama,Negro,Deportivo,Marca B,1390.23,45,2,28,Ciencias de la Salud,Mujer,Regular
Pantalón,Caballero,Negro,Deportivo,Marca D,1172.64,32,17,24,Deportes,Mujer,Regular
Chaqueta,Dama,Azul,Formal,Marca C,1007.42,39,11,23,Deportes,Mujer,Regular
Camisa,Dama,Azul,Deportivo,Marca D,360.86,36,17,29,Artes,Hombre,Regular
Chaqueta,Caballero,Blanco,Formal,Marca D,397.27,37,19,29,Ingeniería,Mujer,Regular
Falda,Caballero,Blanco,Formal,Marca C,318.08,36,7,21,Ciencias de la Salud,Mujer,Regular
Pantalón,Caballero,Rojo,Formal,Marca B,311.17,38,8,24,Ciencias de la Salud,HombreMujer,Regular
Falda,Dama,Verde,Casual,Marca B,1653.74,41,20,20,Artes,Hombre,Regular
Pantalón,Dama,Negro,Formal,Marca D,1720.09,41,2,25,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Verde,Casual,Marca C,1648.33,38,8,21,Ciencias Sociales y Humanidades,Mujer,Regular
Chaqueta,Caballero,Blanco,Formal,Marca B,1933.41,37,13,29,Educación,Hombre,Regular
Camisa,Caballero,Azul,Casual,Marca A,265.23,33,8,29,Educación,Mujer,Regular
Vestido,Caballero,Blanco,Formal,Marca B,434.95,32,7,25,Educación,Mujer,Regular
Camisa,Caballero,Verde,Formal,Marca C,939.02,45,20,24,Ingeniería,HombreMujer,Regular
Chaqueta,Caballero,Rojo,Casual,Marca D,938.19,32,0,27,Educación,Mujer,Regular
Camisa,Caballero,Negro,Casual,Marca C,1147.62,38,20,23,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Dama,Negro,Deportivo,Marca A,1400.85,42,11,20,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Caballero,Azul,Casual,Marca C,1462.57,35,5,22,Ingeniería,Hombre,Regular
Vestido,Dama,Blanco,Casual,Marca A,176.12,45,7,22,Educación,Hombre,Regular
Vestido,Dama,Azul,Casual,Marca C,658.46,33,18,24,Educación,HombreMujer,Regular
Falda,Caballero,Negro,Formal,Marca D,488.07,42,2,30,Ingeniería,Hombre,Regular
Camisa,Caballero,Azul,Casual,Marca B,767.23,33,13,22,Deportes,Hombre,Regular
Pantalón,Caballero,Rojo,Casual,Marca D,1760.96,35,4,25,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Dama,Rojo,Casual,Marca A,1162.56,36,7,21,Ingeniería,Mujer,Regular
Camisa,Dama,Blanco,Casual,Marca A,664.72,37,14,26,Artes,Hombre,Regular
Pantalón,Dama,Azul,Formal,Marca B,1930.67,40,3,26,Educación,Mujer,Regular
Falda,Dama,Azul,Deportivo,Marca B,686.82,37,7,28,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Caballero,Verde,Deportivo,Marca C,1526.62,44,4,25,Educación,Mujer,Regular
Pantalón,Caballero,Blanco,Formal,Marca A,1916.92,39,0,28,Ingeniería,Mujer,Regular
Falda,Caballero,Blanco,Formal,Marca D,816.82,32,8,22,Artes,Mujer,Regular
Camisa,Dama,Blanco,Deportivo,Marca B,1552.87,39,6,24,Educación,Mujer,Regular
Vestido,Caballero,Negro,Casual,Marca A,1899.37,44,13,24,Deportes,HombreMujer,Regular
Vestido,Dama,Rojo,Formal,Marca B,1245.6,35,20,25,Deportes,Hombre,Regular
Falda,Caballero,Blanco,Casual,Marca C,1835.48,43,17,20,Deportes,Mujer,Regular
Pantalón,Dama,Rojo,Casual,Marca D,228.31,39,16,20,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Verde,Casual,Marca C,562.72,40,1,23,Deportes,HombreMujer,Regular
Falda,Caballero,Azul,Deportivo,Marca A,1141.17,38,18,27,Educación,Mujer,Regular
Camisa,Caballero,Verde,Casual,Marca C,937.49,36,12,20,Ciencias de la Salud,Mujer,Regular
Falda,Dama,Negro,Deportivo,Marca D,576.65,35,19,24,Ciencias de la Salud,Hombre,Regular
Chaqueta,Caballero,Azul,Casual,Marca B,1244.14,39,1,23,Deportes,Mujer,Regular
Falda,Dama,Negro,Casual,Marca A,1105.6,39,17,29,Educación,HombreMujer,Regular
Camisa,Dama,Azul,Casual,Marca D,1518.6,32,10,25,Deportes,Hombre,Regular
Falda,Dama,Azul,Deportivo,Marca D,1544.86,39,1,26,Educación,Mujer,Regular
Vestido,Caballero,Rojo,Formal,Marca B,1062.72,35,3,24,Educación,Mujer,Regular
Chaqueta,Caballero,Negro,Formal,Marca B,1717.65,34,11,29,Artes,Hombre,Regular
Pantalón,Dama,Negro,Formal,Marca C,517.98,39,14,21,Educación,Hombre,Regular
Chaqueta,Caballero,Blanco,Casual,Marca A,1536.72,44,8,20,Artes,Hombre,Regular
Chaqueta,Dama,Negro,Casual,Marca B,653.54,32,3,24,Educación,Hombre,Regular
Chaqueta,Caballero,Negro,Casual,Marca A,1581.39,35,2,21,Ciencias de la Salud,Hombre,Regular
Chaqueta,Caballero,Blanco,Formal,Marca C,1062.51,43,20,27,Educación,Hombre,Regular
Vestido,Dama,Blanco,Casual,Marca B,973.82,34,4,25,Educación,Mujer,Regular
Camisa,Caballero,Verde,Deportivo,Marca A,1381.44,35,14,25,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Azul,Casual,Marca A,195.29,45,9,25,Ingeniería,HombreMujer,Regular
Vestido,Caballero,Azul,Deportivo,Marca B,362.86,42,18,22,Educación,Hombre,Regular
Pantalón,Dama,Negro,Formal,Marca D,1793.22,34,12,22,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Dama,Negro,Deportivo,Marca B,1179.11,36,0,25,Artes,Mujer,Regular
Chaqueta,Caballero,Verde,Formal,Marca B,639.61,42,20,25,Educación,Mujer,Regular
Pantalón,Dama,Rojo,Casual,Marca A,1193.56,32,18,24,Ingeniería,HombreMujer,Regular
Falda,Dama,Blanco,Casual,Marca A,240.14,36,7,26,Ciencias de la Salud,HombreMujer,Regular
Chaqueta,Dama,Verde,Casual,Marca B,1508.35,36,9,26,Deportes,HombreMujer,Regular
Chaqueta,Dama,Negro,Casual,Marca A,1951.8,40,2,21,Artes,Mujer,Regular
Camisa,Caballero,Azul,Formal,Marca A,1463.61,35,16,23,Educación,Mujer,Regular
Vestido,Caballero,Verde,Formal,Marca C,1602.55,35,5,30,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Rojo,Deportivo,Marca C,1128.45,37,4,22,Educación,HombreMujer,Regular
Pantalón,Caballero,Rojo,Casual,Marca B,162.73,34,7,27,Deportes,Hombre,Regular
Falda,Caballero,Verde,Casual,Marca C,688.17,42,2,24,Deportes,Mujer,Regular
Falda,Dama,Verde,Casual,Marca C,1703.52,38,0,25,Deportes,Hombre,Regular
Chaqueta,Caballero,Verde,Casual,Marca B,548.01,33,11,27,Ciencias de la Salud,HombreMujer,Regular
Vestido,Caballero,Verde,Formal,Marca D,1176.1,41,18,24,Ingeniería,Hombre,Regular
Vestido,Caballero,Rojo,Formal,Marca D,1314.29,37,11,21,Ingeniería,Mujer,Regular
Chaqueta,Caballero,Rojo,Casual,Marca C,1826.3,43,14,27,Artes,Hombre,Regular
Camisa,Dama,Azul,Deportivo,Marca D,400.23,45,11,22,Educación,Hombre,Regular
Falda,Dama,Azul,Casual,Marca D,698.58,44,19,29,Ciencias Sociales y Humanidades,HombreMujer,Regular
Pantalón,Caballero,Verde,Casual,Marca B,161.15,34,7,20,Artes,Mujer,Regular
Pantalón,Caballero,Verde,Deportivo,Marca A,1191.92,37,16,26,Educación,Hombre,Regular
Pantalón,Dama,Rojo,Formal,Marca C,1352.03,34,7,22,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Blanco,Casual,Marca B,468.44,35,14,21,Ingeniería,Hombre,Regular
Vestido,Caballero,Negro,Deportivo,Marca C,997.29,38,12,22,Educación,Hombre,Regular
Chaqueta,Dama,Azul,Deportivo,Marca B,1363.1,34,7,23,Artes,HombreMujer,Regular
Pantalón,Caballero,Negro,Deportivo,Marca A,1291.46,38,19,29,Ciencias de la Salud,HombreMujer,Regular
